,WAITCLASS,SAMPLE_TIME,DB_TIME
0,Administrative,2016-08-18 20:56:00,0.0
1,Application,2016-08-18 20:56:00,0.0
2,CPU,2016-08-18 20:56:00,0.013
3,Cluster,2016-08-18 20:56:00,0.0
4,Commit,2016-08-18 20:56:00,0.0
5,Concurrency,2016-08-18 20:56:00,0.0
6,Configuration,2016-08-18 20:56:00,0.0
7,Network,2016-08-18 20:56:00,0.003
8,Other,2016-08-18 20:56:00,0.015
9,System I/O,2016-08-18 20:56:00,0.005
10,User I/O,2016-08-18 20:56:00,0.0
11,Administrative,2016-08-18 20:57:00,0.0
12,Application,2016-08-18 20:57:00,0.0
13,CPU,2016-08-18 20:57:00,0.009
14,Cluster,2016-08-18 20:57:00,0.0
15,Commit,2016-08-18 20:57:00,0.0
16,Concurrency,2016-08-18 20:57:00,0.0
17,Configuration,2016-08-18 20:57:00,0.0
18,Network,2016-08-18 20:57:00,0.002
19,Other,2016-08-18 20:57:00,0.015
20,System I/O,2016-08-18 20:57:00,0.002
21,User I/O,2016-08-18 20:57:00,0.0
22,Administrative,2016-08-18 20:58:00,0.0
23,Application,2016-08-18 20:58:00,0.0
24,CPU,2016-08-18 20:58:00,0.012
25,Cluster,2016-08-18 20:58:00,0.0
26,Commit,2016-08-18 20:58:00,0.0
27,Concurrency,2016-08-18 20:58:00,0.0
28,Configuration,2016-08-18 20:58:00,0.0
29,Network,2016-08-18 20:58:00,0.003
30,Other,2016-08-18 20:58:00,0.014
31,System I/O,2016-08-18 20:58:00,0.002
32,User I/O,2016-08-18 20:58:00,0.0
33,Administrative,2016-08-18 20:59:00,0.0
34,Application,2016-08-18 20:59:00,0.0
35,CPU,2016-08-18 20:59:00,0.007
36,Cluster,2016-08-18 20:59:00,0.005
37,Commit,2016-08-18 20:59:00,0.0
38,Concurrency,2016-08-18 20:59:00,0.0
39,Configuration,2016-08-18 20:59:00,0.0
40,Network,2016-08-18 20:59:00,0.002
41,Other,2016-08-18 20:59:00,0.023
42,System I/O,2016-08-18 20:59:00,0.008
43,User I/O,2016-08-18 20:59:00,0.001
44,Administrative,2016-08-18 21:00:00,0.0
45,Application,2016-08-18 21:00:00,0.0
46,CPU,2016-08-18 21:00:00,0.136
47,Cluster,2016-08-18 21:00:00,0.044
48,Commit,2016-08-18 21:00:00,0.0
49,Concurrency,2016-08-18 21:00:00,0.0
50,Configuration,2016-08-18 21:00:00,0.0
51,Network,2016-08-18 21:00:00,0.003
52,Other,2016-08-18 21:00:00,0.016
53,System I/O,2016-08-18 21:00:00,0.065
54,User I/O,2016-08-18 21:00:00,0.164
55,Administrative,2016-08-18 21:01:00,0.0
56,Application,2016-08-18 21:01:00,0.0
57,CPU,2016-08-18 21:01:00,0.014
58,Cluster,2016-08-18 21:01:00,0.0
59,Commit,2016-08-18 21:01:00,0.0
60,Concurrency,2016-08-18 21:01:00,0.0
61,Configuration,2016-08-18 21:01:00,0.0
62,Network,2016-08-18 21:01:00,0.002
63,Other,2016-08-18 21:01:00,0.031
64,System I/O,2016-08-18 21:01:00,0.004
65,User I/O,2016-08-18 21:01:00,0.0
66,Administrative,2016-08-18 21:02:00,0.0
67,Application,2016-08-18 21:02:00,0.0
68,CPU,2016-08-18 21:02:00,0.009
69,Cluster,2016-08-18 21:02:00,0.0
70,Commit,2016-08-18 21:02:00,0.0
71,Concurrency,2016-08-18 21:02:00,0.0
72,Configuration,2016-08-18 21:02:00,0.0
73,Network,2016-08-18 21:02:00,0.002
74,Other,2016-08-18 21:02:00,0.014
75,System I/O,2016-08-18 21:02:00,0.007
76,User I/O,2016-08-18 21:02:00,0.0
77,Administrative,2016-08-18 21:03:00,0.0
78,Application,2016-08-18 21:03:00,0.0
79,CPU,2016-08-18 21:03:00,0.005
80,Cluster,2016-08-18 21:03:00,0.001
81,Commit,2016-08-18 21:03:00,0.0
82,Concurrency,2016-08-18 21:03:00,0.0
83,Configuration,2016-08-18 21:03:00,0.0
84,Network,2016-08-18 21:03:00,0.002
85,Other,2016-08-18 21:03:00,0.017
86,System I/O,2016-08-18 21:03:00,0.004
87,User I/O,2016-08-18 21:03:00,0.002
88,Administrative,2016-08-18 21:04:00,0.0
89,Application,2016-08-18 21:04:00,0.0
90,CPU,2016-08-18 21:04:00,0.005
91,Cluster,2016-08-18 21:04:00,0.0
92,Commit,2016-08-18 21:04:00,0.001
93,Concurrency,2016-08-18 21:04:00,0.0
94,Configuration,2016-08-18 21:04:00,0.0
95,Network,2016-08-18 21:04:00,0.003
96,Other,2016-08-18 21:04:00,0.016
97,System I/O,2016-08-18 21:04:00,0.012
98,User I/O,2016-08-18 21:04:00,0.0
99,Administrative,2016-08-18 21:05:00,0.0
100,Application,2016-08-18 21:05:00,0.0
101,CPU,2016-08-18 21:05:00,0.009
102,Cluster,2016-08-18 21:05:00,0.001
103,Commit,2016-08-18 21:05:00,0.001
104,Concurrency,2016-08-18 21:05:00,0.003
105,Configuration,2016-08-18 21:05:00,0.0
106,Network,2016-08-18 21:05:00,0.002
107,Other,2016-08-18 21:05:00,0.019
108,System I/O,2016-08-18 21:05:00,0.004
109,User I/O,2016-08-18 21:05:00,0.0
110,Administrative,2016-08-18 21:06:00,0.0
111,Application,2016-08-18 21:06:00,0.0
112,CPU,2016-08-18 21:06:00,0.019
113,Cluster,2016-08-18 21:06:00,0.0
114,Commit,2016-08-18 21:06:00,0.0
115,Concurrency,2016-08-18 21:06:00,0.0
116,Configuration,2016-08-18 21:06:00,0.003
117,Network,2016-08-18 21:06:00,0.002
118,Other,2016-08-18 21:06:00,0.013
119,System I/O,2016-08-18 21:06:00,0.022
120,User I/O,2016-08-18 21:06:00,0.001
121,Administrative,2016-08-18 21:07:00,0.0
122,Application,2016-08-18 21:07:00,0.0
123,CPU,2016-08-18 21:07:00,0.022
124,Cluster,2016-08-18 21:07:00,0.008
125,Commit,2016-08-18 21:07:00,0.0
126,Concurrency,2016-08-18 21:07:00,0.0
127,Configuration,2016-08-18 21:07:00,0.0
128,Network,2016-08-18 21:07:00,0.003
129,Other,2016-08-18 21:07:00,0.02
130,System I/O,2016-08-18 21:07:00,0.006
131,User I/O,2016-08-18 21:07:00,0.0
132,Administrative,2016-08-18 21:08:00,0.0
133,Application,2016-08-18 21:08:00,0.0
134,CPU,2016-08-18 21:08:00,0.007
135,Cluster,2016-08-18 21:08:00,0.0
136,Commit,2016-08-18 21:08:00,0.0
137,Concurrency,2016-08-18 21:08:00,0.0
138,Configuration,2016-08-18 21:08:00,0.0
139,Network,2016-08-18 21:08:00,0.002
140,Other,2016-08-18 21:08:00,0.018
141,System I/O,2016-08-18 21:08:00,0.004
142,User I/O,2016-08-18 21:08:00,0.0
143,Administrative,2016-08-18 21:09:00,0.0
144,Application,2016-08-18 21:09:00,0.0
145,CPU,2016-08-18 21:09:00,0.009
146,Cluster,2016-08-18 21:09:00,0.0
147,Commit,2016-08-18 21:09:00,0.0
148,Concurrency,2016-08-18 21:09:00,0.0
149,Configuration,2016-08-18 21:09:00,0.0
150,Network,2016-08-18 21:09:00,0.002
151,Other,2016-08-18 21:09:00,0.017
152,System I/O,2016-08-18 21:09:00,0.025
153,User I/O,2016-08-18 21:09:00,0.0
154,Administrative,2016-08-18 21:10:00,0.0
155,Application,2016-08-18 21:10:00,0.0
156,CPU,2016-08-18 21:10:00,0.004
157,Cluster,2016-08-18 21:10:00,0.0
158,Commit,2016-08-18 21:10:00,0.0
159,Concurrency,2016-08-18 21:10:00,0.0
